"year"	"category"	"n"
"7805"	"A"	0.0063193
"7805"	"B"	56.704357
"7805"	"C"	0.0184195
"7805"	"K1"	177.777129
"7805"	"K2"	1312.4133
"7805"	"K3"	58.458505
"7805"	"K4"	61.854281
"7805"	"K5"	1491.1846
"7805"	"K6"	1371.8718
"7805"	"K7"	48.137933
"7805"	"K8"	1
"7806"	"K9"	1
"7806"	"A"	1.1829539
"7806"	"B"	0.8818904
"7806"	"C"	1.1273837
"7806"	"K1"	177.777129
"7806"	"K2"	1312.4133
"7806"	"K3"	58.458505
"7806"	"K4"	61.854282
"7806"	"K5"	1491.1846
"7806"	"K6"	1371.8718
"7806"	"K7"	6.9327763
"7806"	"K8"	1
"7806"	"K9"	1	
"7807"	"A"	0.0063145
"7807"	"B"	56.726771
"7807"	"C"	0.0184123
"7807"	"K1"	177.777129
"7807"	"K2"	1312.4133
"7807"	"K3"	58.458505
"7807"	"K4"	61.854285	
"7807"	"K5"	1491.1846
"7807"	"K6"	1371.8718
"7807"	"K7"	51.657563
"7807"	"K8"	1
"7807"	"K9"	1
"7808"	"A"	0.0063456
"7808"	"B"	56.580787
"7808"	"C"	0.0184597
"7808"	"K1"	177.777129
"7808"	"K2"	1312.4133
"7808"	"K3"	58.458505
"7808"	"K4"	61.854286
"7808"	"K5"	1491.1846
"7808"	"K6"	1371.8718
"7808"	"K7"	28.829064
"7808"	"K8"	1
"7808"	"K9"	1
"7809"	"A"	0.0063205
"7809"	"B"	56.698838
"7809"	"C"	0.0184213
"7809"	"K1"	177.777129
"7809"	"K2"	1312.4133
"7809"	"K3"	58.458505
"7809"	"K4"	61.854287
"7809"	"K5"	1491.1846
"7809"	"K6"	1371.8718
"7809"	"K7"	47.272116
"7809"	"K8"	1
"7809"	"K9"	1
"7810"	"A"	0.0063294
"7810"	"B"	56.656829
"7810"	"C"	0.0184350
"7810"	"K1"	177.777129
"7810"	"K2"	1312.4133
"7810"	"K3"	58.458505
"7810"	"K4"	61.854288
"7810"	"K5"	1491.1846
"7810"	"K6"	1371.8718
"7810"	"K7"	40.692056
"7810"	"K8"	1
"7810"	"K9"	1
"7811"	"A"	0.0062905
"7811"	"B"	56.840066
"7811"	"C"	0.0183756
"7811"	"K1"	177.777129
"7811"	"K2"	1312.4133
"7811"	"K3"	58.458505
"7811"	"K4"	61.854289
"7811"	"K5"	1491.1846
"7811"	"K6"	1371.8718
"7811"	"K7"	69.530121
"7811"	"K8"	1
"7811"	"K9"	1
"7812"	"A"	0.0063122
"7812"	"B"	56.737598
"7812"	"C"	0.0184087
"7812"	"K1"	177.777129
"7812"	"K2"	1312.4133
"7812"	"K3"	58.458505
"7812"	"K4"	61.854290
"7812"	"K5"	1491.1846
"7812"	"K6"	1371.8718
"7812"	"K7"	53.359677
"7812"	"K8"	1
"7812"	"K9"	1
"7813"	"A"	0.0062712
"7813"	"B"	56.931721
"7813"	"C"	0.0183460
"7813"	"K1"	177.777129
"7813"	"K2"	1312.4133
"7813"	"K3"	58.458505
"7813"	"K4"	61.854281
"7813"	"K5"	1491.1846
"7813"	"K6"	1371.8718
"7813"	"K7"	84.089146
"7813"	"K8"	1
"7813"	"K9"	1
"7814"	"A"	0.9950462
"7814"	"B"	1.0037294
"7814"	"C"	0.9964448
"7814"	"K1"	177.777129
"7814"	"K2"	1312.4133
"7814"	"K3"	58.458505
"7814"	"K4"	61.854281
"7814"	"K5"	1491.1846
"7814"	"K6"	1371.8718
"7814"	"K7"	0.8034230
"7814"	"K8"	1
"7814"	"K9"	1
"7815"	"A"	0.0063357
"7815"	"B"	56.627288
"7815"	"C"	0.0184446
"7815"	"K1"	177.777129
"7815"	"K2"	1312.4133
"7815"	"K3"	58.458505
"7815"	"K4"	61.854281
"7815"	"K5"	1491.1846
"7815"	"K6"	1371.8718
"7815"	"K7"	36.076209
"7815"	"K8"	1
"7815"	"K9"	1
"7816"	"A"	1.4946487
"7816"	"B"	0.7429644
"7816"	"C"	1.3260758
"7816"	"K1"	177.777129
"7816"	"K2"	1312.4133
"7816"	"K3"	58.458505
"7816"	"K4"	61.854281
"7816"	"K5"	1491.1846
"7816"	"K6"	1371.8718
"7816"	"K7"	13.032347
"7816"	"K8"	1
"7816"	"K9"	1
