"experiemntID"	"solutionID"	"A"	"B"	"C"
"197805"	"1"	0.00631934	56.70435784	0.01841957
"197806"	"1"	1.18295397	0.881890417	0.88189041
"197806"	"2"	79.9100568	0.052930877	10.6407944
"197806"	"3"	0.00637592	56.43939598	0.01850597
"197807"	"1"	0.00631458	56.72677141	0.01841230
"197808"	"1"	0.00634566	56.58078778	0.01845977
"197809"	"1"	0.00632051	56.69883896	0.01842136
"197810"	"1"	0.00632945	56.65682909	0.01843501
"197811"	"1"	0.00629056	56.84006647	0.01837563
"197812"	"1"	0.00631228	56.73759860	0.01840879
"197813"	"1"	0.00627121	56.93172175	0.01834607
"197814"	"1"	0.99504625	1.003729447	0.99644487
"197814"	"2"	0.00638448	56.39957231	0.01851903
"197814"	"3"	1403.04957	0.005393251	20.6182784
"197815"	"1"	0.00633574	56.62728819	0.01844462
"197816"	"1"	1.49464870	0.742964461	1.32607584
"197816"	"2"	23.8173706	0.118023124	6.40004017
"197816"	"3"	0.00636745	56.47891948	0.01849303
"197817"	"1"	0.00629075	56.83915586	0.01837592
"197818"	"1"	0.00628570	56.86304302	0.01836821
"197819"	"1"	0.00632066	56.69812503	0.01842159
"197820"	"1"	2.11078566	0.580903385	1.66926092
"197820"	"2"	0.00635989	56.51421587	0.01848149
"197820"	"3"	9.42603263	0.214069224	4.03010698
"197821"	"1"	2.08017072	0.586893602	1.65344431
"197821"	"2"	0.00636012	56.51317113	0.01848184
"197821"	"3"	9.70865102	0.210034043	4.09379574
"197822"	"1"	35.7191714	0.090726615	7.68429399
"197822"	"2"	1.35533768	0.797815066	1.23980570
"197822"	"3"	0.00637061	56.46417542	0.01849786
"197823"	"1"	0.00626687	56.95229909	0.01833945
"197824"	"1"	0.00627541	56.91180061	0.01835249
"197825"	"1"	0.00630596	56.76738703	0.01839914
"197826"	"1"	0.00635010	56.56002783	0.01846654
"197827"	"1"	0.00634710	56.57406444	0.01846196
"197828"	"1"	0.00635248	56.54888252	0.01847017
"197829"	"1"	1.05525997	0.960320098	1.03945795
"197829"	"2"	1.03945795	56.41423648	0.01851422
"197829"	"3"	275.381150	0.021453644	15.6580355
"197830"	"1"	0.00634964	56.56214252	0.01846585
"197831"	"1"	0.00636875	56.47283417	0.01849503
"197831"	"2"	1.43268992	0.766156424	1.28817593
"197831"	"3"	28.0403846	0.106205098	6.89925434
"197832"	"1"	0.00631263	56.73593089	0.01840933
"197833"	"1"	1.65858852	0.689259884	1.42302625
"197833"	"2"	0.00636463	56.49210231	0.01848872
"197833"	"3"	16.9127763	0.147080408	5.43339687
"197834"	"1"	0.00627745	56.90210221	0.01835561
"197835"	"1"	7.62008592	0.245604843	3.59322920
"197835"	"2"	2.36748055	0.536167689	1.79768585
"197835"	"3"	0.00635838	56.52126887	0.01847919
"197836"	"1"	0.00626790	56.94741303	0.01834102
"197837"	"1"	0.00627264	56.92491330	0.01834826
"197838"	"1"	0.00630432	56.77511604	0.01839663
"197839"	"1"	0.00629068	56.83953136	0.01837580
"197840"	"1"	0.00629291	56.82895588	0.01837922
"197841"	"1"	0.00630716	56.76173235	0.01840097
"197842"	"1"	1.36998118	0.791571219	1.24905576
"197842"	"2"	33.9867196	0.093721742	7.51874685
"197842"	"3"	0.00637024	56.46591415	0.01849729
"197843"	"1"	1.10741827	0.926266287	1.07589122
"197843"	"2"	145.201098	0.034711524	13.0636577
"197843"	"3"	0.00637893	56.42538245	0.01851057
